City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Preobrazheniye,RU,42.9019,133.9064,66.25,77,0,9.84,clear sky
278,Hamilton,US,39.1834,-84.5333,80.67,91,75,6.91,broken clouds
279,Dunedin,NZ,-45.8742,170.5036,38.8,60,7,5.01,clear sky
280,College,US,64.8569,-147.8028,43.59,92,100,6.91,light rain
281,Kibala,TD,9.1104,18.3463,89.55,58,20,5.75,few clouds
282,Nantucket,US,41.2835,-70.0995,84.09,85,0,18.41,clear sky
283,Miyazu,JP,35.5333,135.1833,76.33,93,100,6.33,overcast clouds
284,La Palma,US,33.8464,-118.0467,80.1,83,0,0.0,clear sky
285,Point Pedro,LK,9.8167,80.2333,80.96,81,100,22.95,overcast clouds
286,Matay,EG,28.419,30.7792,101.68,19,0,12.55,clear sky
287,Qeshm,IR,26.9581,56.2719,102.09,58,3,9.01,clear sky
288,Yatou,CN,37.15,122.3833,69.6,95,100,13.51,light rain
289,Araouane,ML,18.9048,-3.5265,107.53,18,74,11.74,broken clouds
290,New Norfolk,AU,-42.7826,147.0587,40.71,80,6,2.28,clear sky
291,Mayskiy,RU,47.6931,40.1025,94.41,14,0,11.54,clear sky
292,Vanderhoof,CA,54.0166,-124.0198,51.91,60,0,0.72,clear sky
293,Puerto Montt,CL,-41.4698,-72.9447,38.23,100,40,0.0,mist
294,Baykit,RU,61.67,96.37,60.06,83,100,3.33,overcast clouds
295,Esperance,AU,-33.8667,121.9,52.99,74,100,21.52,moderate rain
296,Kuah,MY,6.3265,99.8432,82.38,83,20,3.44,few clouds
297,Estelle,US,29.8458,-90.1067,84.99,76,75,3.44,broken clouds
298,Uruacu,BR,-14.5247,-49.1408,92.08,22,64,6.33,broken clouds
299,La Reforma,MX,25.0833,-108.05,81.9,83,72,3.4,broken clouds
300,Vorotynets,RU,56.0603,45.8633,79.16,58,96,4.27,overcast clouds
301,Aykhal,RU,66.0,111.5,52.63,79,45,1.86,scattered clouds
302,Mabaruma,GY,8.2,-59.7833,83.71,74,91,4.12,overcast clouds
303,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,71,75,3.58,broken clouds
304,Madimba,TZ,-10.4,40.3333,83.52,51,75,11.5,broken clouds
305,Ballina,AU,-28.8667,153.5667,53.02,84,22,12.5,light rain
306,Houma,US,29.5958,-90.7195,84.99,88,13,3.0,few clouds
307,Shelburne,CA,44.0787,-80.2041,59.45,98,100,10.76,overcast clouds
308,Potam,MX,27.6,-110.3833,85.55,71,99,2.66,overcast clouds
309,Coquimbo,CL,-29.9533,-71.3436,51.53,71,0,2.3,clear sky
310,Ilulissat,GL,69.2167,-51.1,35.35,96,100,10.36,light rain
311,Istok,XK,42.7808,20.4875,74.98,62,79,12.75,broken clouds
312,Eydhafushi,MV,5.1033,73.0708,81.1,83,90,11.1,overcast clouds
313,Sarab,IR,38.6066,44.9883,91.71,24,5,3.71,clear sky
314,Namibe,AO,-15.1961,12.1522,70.79,72,32,11.32,scattered clouds
315,Ambilobe,MG,-13.2,49.05,79.75,54,12,2.28,few clouds
316,Cayenne,GF,4.9333,-52.3333,88.09,18,75,8.05,broken clouds
317,Pueblo,US,38.2545,-104.6091,75.42,79,1,3.0,clear sky
318,Emerald,AU,-23.5333,148.1667,48.34,67,0,11.12,clear sky
319,Aquiraz,BR,-3.9014,-38.3911,83.17,61,47,14.74,scattered clouds
320,Maniitsoq,GL,65.4167,-52.9,40.68,92,100,6.02,overcast clouds
321,Vostok,RU,46.4856,135.8833,58.19,80,78,5.99,broken clouds
322,Kitimat,CA,54.0524,-128.6534,57.58,76,9,3.85,clear sky
323,Luquillo,PR,18.3725,-65.7166,87.91,66,54,11.27,broken clouds
324,Batagay,RU,67.6333,134.6333,60.4,74,76,4.43,broken clouds
325,Roma,US,43.2128,-75.4557,70.95,95,100,4.0,overcast clouds
